transaction_id,customer_id,product_id,category,region,quantity,unit_price,total_amount,transaction_date
TXN_001,CUST_001,PROD_001,Electronics,North,2,150.00,300.00,2025-07-23
TXN_002,CUST_002,PROD_002,Clothing,South,1,80.00,80.00,2025-07-23
TXN_003,CUST_003,PROD_003,Books,East,3,25.00,75.00,2025-07-23
TXN_004,CUST_004,PROD_004,Sports,West,1,200.00,200.00,2025-07-23
TXN_005,CUST_005,PROD_005,Home,North,2,120.00,240.00,2025-07-23
TXN_006,CUST_006,PROD_006,Electronics,South,1,300.00,300.00,2025-07-23
TXN_007,CUST_007,PROD_007,Clothing,East,4,60.00,240.00,2025-07-23
TXN_008,CUST_008,PROD_008,Books,West,2,35.00,70.00,2025-07-23
TXN_009,CUST_009,PROD_009,Sports,North,1,180.00,180.00,2025-07-23
TXN_010,CUST_010,PROD_010,Home,South,3,90.00,270.00,2025-07-23
TXN_011,CUST_011,PROD_011,Electronics,East,2,175.00,350.00,2025-07-23
TXN_012,CUST_012,PROD_012,Clothing,West,1,95.00,95.00,2025-07-23
TXN_013,CUST_013,PROD_013,Books,North,5,20.00,100.00,2025-07-23
TXN_014,CUST_014,PROD_014,Sports,South,2,110.00,220.00,2025-07-23
TXN_015,CUST_015,PROD_015,Home,East,1,160.00,160.00,2025-07-23
TXN_016,CUST_016,PROD_016,Electronics,West,3,125.00,375.00,2025-07-23
TXN_017,CUST_017,PROD_017,Clothing,North,2,70.00,140.00,2025-07-23
TXN_018,CUST_018,PROD_018,Books,South,1,45.00,45.00,2025-07-23
TXN_019,CUST_019,PROD_019,Sports,East,4,85.00,340.00,2025-07-23
TXN_020,CUST_020,PROD_020,Home,West,2,135.00,270.00,2025-07-23
TXN_021,CUST_021,PROD_021,Electronics,North,1,220.00,220.00,2025-07-23
TXN_022,CUST_022,PROD_022,Clothing,South,3,55.00,165.00,2025-07-23
TXN_023,CUST_023,PROD_023,Books,East,2,30.00,60.00,2025-07-23
TXN_024,CUST_024,PROD_024,Sports,West,1,195.00,195.00,2025-07-23
TXN_025,CUST_025,PROD_025,Home,North,4,75.00,300.00,2025-07-23
TXN_026,CUST_026,PROD_026,Electronics,South,2,190.00,380.00,2025-07-23
TXN_027,CUST_027,PROD_027,Clothing,East,1,85.00,85.00,2025-07-23
TXN_028,CUST_028,PROD_028,Books,West,3,40.00,120.00,2025-07-23
TXN_029,CUST_029,PROD_029,Sports,North,2,150.00,300.00,2025-07-23
TXN_030,CUST_030,PROD_030,Home,South,1,210.00,210.00,2025-07-23
TXN_031,CUST_031,PROD_031,Electronics,East,3,165.00,495.00,2025-07-23
TXN_032,CUST_032,PROD_032,Clothing,West,2,75.00,150.00,2025-07-23
TXN_033,CUST_033,PROD_033,Books,North,1,50.00,50.00,2025-07-23
TXN_034,CUST_034,PROD_034,Sports,South,4,120.00,480.00,2025-07-23
TXN_035,CUST_035,PROD_035,Home,East,2,145.00,290.00,2025-07-23
TXN_036,CUST_036,PROD_036,Electronics,West,1,280.00,280.00,2025-07-23
TXN_037,CUST_037,PROD_037,Clothing,North,3,65.00,195.00,2025-07-23
TXN_038,CUST_038,PROD_038,Books,South,2,35.00,70.00,2025-07-23
TXN_039,CUST_039,PROD_039,Sports,East,1,175.00,175.00,2025-07-23
TXN_040,CUST_040,PROD_040,Home,West,5,80.00,400.00,2025-07-23
TXN_041,CUST_041,PROD_041,Electronics,North,2,205.00,410.00,2025-07-23
TXN_042,CUST_042,PROD_042,Clothing,South,1,90.00,90.00,2025-07-23
TXN_043,CUST_043,PROD_043,Books,East,4,25.00,100.00,2025-07-23
TXN_044,CUST_044,PROD_044,Sports,West,2,160.00,320.00,2025-07-23
TXN_045,CUST_045,PROD_045,Home,North,1,185.00,185.00,2025-07-23
TXN_046,CUST_046,PROD_046,Electronics,South,3,155.00,465.00,2025-07-23
TXN_047,CUST_047,PROD_047,Clothing,East,2,70.00,140.00,2025-07-23
TXN_048,CUST_048,PROD_048,Books,West,1,55.00,55.00,2025-07-23
TXN_049,CUST_049,PROD_049,Sports,North,3,135.00,405.00,2025-07-23
TXN_050,CUST_050,PROD_050,Home,South,2,170.00,340.00,2025-07-23
TXN_051,CUST_051,PROD_051,Electronics,East,1,240.00,240.00,2025-07-23
TXN_052,CUST_052,PROD_052,Clothing,West,4,60.00,240.00,2025-07-23
TXN_053,CUST_053,PROD_053,Books,North,2,45.00,90.00,2025-07-23
TXN_054,CUST_054,PROD_054,Sports,South,1,190.00,190.00,2025-07-23
TXN_055,CUST_055,PROD_055,Home,East,3,125.00,375.00,2025-07-23
TXN_056,CUST_056,PROD_056,Electronics,West,2,185.00,370.00,2025-07-23
TXN_057,CUST_057,PROD_057,Clothing,North,1,85.00,85.00,2025-07-23
TXN_058,CUST_058,PROD_058,Books,South,5,30.00,150.00,2025-07-23
TXN_059,CUST_059,PROD_059,Sports,East,2,145.00,290.00,2025-07-23
TXN_060,CUST_060,PROD_060,Home,West,1,195.00,195.00,2025-07-23
TXN_061,CUST_061,PROD_061,Electronics,North,3,170.00,510.00,2025-07-23
TXN_062,CUST_062,PROD_062,Clothing,South,2,75.00,150.00,2025-07-23
TXN_063,CUST_063,PROD_063,Books,East,1,40.00,40.00,2025-07-23
TXN_064,CUST_064,PROD_064,Sports,West,4,125.00,500.00,2025-07-23
TXN_065,CUST_065,PROD_065,Home,North,2,155.00,310.00,2025-07-23
TXN_066,CUST_066,PROD_066,Electronics,South,1,260.00,260.00,2025-07-23
TXN_067,CUST_067,PROD_067,Clothing,East,3,65.00,195.00,2025-07-23
